time,motion,distance,co2,label,timestamp
11:31:11,0,-1.0,676,0,1495121471.0
11:31:12,0,-1.0,676,0,1495121472.0
11:31:13,0,-1.0,676,0,1495121473.0
11:31:14,0,-1.0,676,0,1495121474.0
11:31:15,0,-1.0,676,0,1495121475.0
11:31:16,0,-1.0,676,0,1495121476.0
11:31:17,0,-1.0,676,0,1495121477.0
11:31:18,0,-1.0,676,0,1495121478.0
11:31:19,0,-1.0,677,0,1495121479.0
11:31:20,0,-1.0,677,0,1495121480.0
11:31:21,0,-1.0,677,0,1495121481.0
11:31:22,0,-1.0,679,0,1495121482.0
11:31:23,0,-1.0,679,0,1495121483.0
11:31:24,0,-1.0,679,0,1495121484.0
11:31:25,0,-1.0,679,0,1495121485.0
11:31:26,0,-1.0,680,0,1495121486.0
11:31:27,0,-1.0,680,0,1495121487.0
11:31:28,0,-1.0,680,0,1495121488.0
11:31:29,0,-1.0,680,0,1495121489.0
11:31:30,0,-1.0,680,0,1495121490.0
11:31:31,0,-1.0,680,0,1495121491.0
11:31:32,0,-1.0,680,0,1495121492.0
11:31:33,0,-1.0,680,0,1495121493.0
11:31:34,0,-1.0,680,0,1495121494.0
11:31:35,0,-1.0,680,0,1495121495.0
11:31:36,0,-1.0,680,0,1495121496.0
11:31:37,0,-1.0,680,0,1495121497.0
11:31:38,0,-1.0,680,0,1495121498.0
11:31:39,0,-1.0,680,0,1495121499.0
11:31:40,0,-1.0,680,0,1495121500.0
11:31:41,0,-1.0,680,0,1495121501.0
11:31:42,0,-1.0,680,0,1495121502.0
11:31:43,0,-1.0,680,0,1495121503.0
11:31:44,0,-1.0,680,0,1495121504.0
11:31:45,0,-1.0,680,0,1495121505.0
11:31:46,0,-1.0,680,0,1495121506.0
11:31:47,0,-1.0,680,0,1495121507.0
11:31:48,0,-1.0,680,0,1495121508.0
11:31:49,0,-1.0,680,0,1495121509.0
11:31:50,0,-1.0,680,0,1495121510.0
11:31:51,0,-1.0,680,0,1495121511.0
11:31:52,0,-1.0,679,0,1495121512.0
11:31:53,0,-1.0,679,0,1495121513.0
11:31:54,0,-1.0,679,0,1495121514.0
11:31:55,0,-1.0,679,0,1495121515.0
11:31:56,0,-1.0,679,0,1495121516.0
11:31:57,0,-1.0,679,0,1495121517.0
11:31:58,0,-1.0,679,0,1495121518.0
11:31:59,0,-1.0,679,0,1495121519.0
11:32:00,0,-1.0,679,0,1495121520.0
11:32:01,0,-1.0,679,0,1495121521.0
11:32:02,0,63.76,679,0,1495121522.0
11:32:03,0,-1.0,679,0,1495121523.0
11:32:04,0,-1.0,679,0,1495121524.0
11:32:05,0,-1.0,679,0,1495121525.0
11:32:06,0,-1.0,679,0,1495121526.0
11:32:07,0,-1.0,679,0,1495121527.0
11:32:08,0,-1.0,679,0,1495121528.0
11:32:09,0,-1.0,679,0,1495121529.0
11:32:10,0,-1.0,679,0,1495121530.0
11:32:11,0,-1.0,678,0,1495121531.0
11:32:12,0,-1.0,678,0,1495121532.0
11:32:13,0,-1.0,678,0,1495121533.0
11:32:14,0,-1.0,678,0,1495121534.0
11:32:15,0,-1.0,678,0,1495121535.0
11:32:16,0,-1.0,678,0,1495121536.0
11:32:17,0,-1.0,678,0,1495121537.0
11:32:18,0,-1.0,678,0,1495121538.0
11:32:19,0,-1.0,678,0,1495121539.0
11:32:20,0,-1.0,678,0,1495121540.0
11:32:21,0,-1.0,678,0,1495121541.0
11:32:22,0,-1.0,678,0,1495121542.0
11:32:23,0,-1.0,678,0,1495121543.0
11:32:24,0,-1.0,678,0,1495121544.0
11:32:25,0,-1.0,678,0,1495121545.0
11:32:26,0,-1.0,679,0,1495121546.0
11:32:27,0,-1.0,679,0,1495121547.0
11:32:28,0,-1.0,679,0,1495121548.0
11:32:29,0,-1.0,679,0,1495121549.0
11:32:30,0,-1.0,678,0,1495121550.0
11:32:31,0,-1.0,678,0,1495121551.0
11:32:32,0,-1.0,678,0,1495121552.0
11:32:33,0,-1.0,678,0,1495121553.0
11:32:34,0,-1.0,679,0,1495121554.0
11:32:35,0,-1.0,679,0,1495121555.0
11:32:36,0,-1.0,679,0,1495121556.0
11:32:37,0,-1.0,679,0,1495121557.0
11:32:38,0,-1.0,679,0,1495121558.0
11:32:39,0,-1.0,679,0,1495121559.0
11:32:40,0,-1.0,679,0,1495121560.0
11:32:41,0,-1.0,678,0,1495121561.0
11:32:42,0,-1.0,678,0,1495121562.0
11:32:43,0,-1.0,678,0,1495121563.0
11:32:44,0,-1.0,678,0,1495121564.0
11:32:45,0,-1.0,678,0,1495121565.0
11:32:46,0,-1.0,678,0,1495121566.0
11:32:47,0,-1.0,678,0,1495121567.0
11:32:48,0,-1.0,678,0,1495121568.0
11:32:49,0,-1.0,678,0,1495121569.0
11:32:50,0,-1.0,678,0,1495121570.0
11:32:51,0,-1.0,678,0,1495121571.0
11:32:52,0,-1.0,677,0,1495121572.0
11:32:53,0,-1.0,677,0,1495121573.0
11:32:54,0,-1.0,677,0,1495121574.0
11:32:55,0,-1.0,677,0,1495121575.0
11:32:56,0,-1.0,676,0,1495121576.0
11:32:57,0,-1.0,676,0,1495121577.0
11:32:58,0,-1.0,676,0,1495121578.0
11:32:59,0,-1.0,676,0,1495121579.0
11:33:00,0,-1.0,675,0,1495121580.0
11:33:01,0,-1.0,675,0,1495121581.0
11:33:02,0,-1.0,675,0,1495121582.0
11:33:03,0,-1.0,675,0,1495121583.0
11:33:04,0,-1.0,674,0,1495121584.0
11:33:05,0,-1.0,674,0,1495121585.0
11:33:06,0,-1.0,674,0,1495121586.0
11:33:07,0,-1.0,673,0,1495121587.0
11:33:08,0,-1.0,673,0,1495121588.0
11:33:09,0,-1.0,673,0,1495121589.0
11:33:10,0,-1.0,673,0,1495121590.0
11:33:11,0,-1.0,672,0,1495121591.0
11:33:12,0,-1.0,672,0,1495121592.0
11:33:13,0,-1.0,672,0,1495121593.0
11:33:14,0,-1.0,672,0,1495121594.0
11:33:15,0,-1.0,672,0,1495121595.0
11:33:16,0,-1.0,672,0,1495121596.0
11:33:17,0,58.71,672,0,1495121597.0
11:33:18,0,-1.0,672,0,1495121598.0
11:33:19,0,-1.0,671,0,1495121599.0
11:33:20,0,-1.0,671,0,1495121600.0
11:33:21,0,-1.0,671,0,1495121601.0
11:33:22,0,-1.0,670,0,1495121602.0
11:33:23,0,-1.0,670,0,1495121603.0
11:33:24,0,-1.0,670,0,1495121604.0
11:33:25,0,-1.0,670,0,1495121605.0
11:33:26,0,-1.0,670,0,1495121606.0
11:33:27,0,-1.0,670,0,1495121607.0
11:33:28,0,-1.0,670,0,1495121608.0
11:33:29,0,-1.0,670,0,1495121609.0
11:33:30,0,-1.0,670,0,1495121610.0
11:33:31,0,-1.0,670,0,1495121611.0
11:33:32,0,-1.0,670,0,1495121612.0
11:33:33,0,-1.0,672,0,1495121613.0
11:33:34,0,-1.0,672,0,1495121614.0
11:33:35,0,-1.0,672,0,1495121615.0
11:33:36,0,-1.0,672,0,1495121616.0
11:33:37,0,-1.0,671,0,1495121617.0
